,Customer,State,Customer Lifetime Value,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,response Rate
0,DK49336,Arizona,4809.21696,Basic,College,Employed,M,48029,Suburban,Married,61,7.0,52,0.0,9,Corporate Auto,Corporate L3,Offer3,Agent,292.8,Four-Door Car,Medsize,0
1,KX64629,California,2228.525238,Basic,College,Unemployed,F,0,Suburban,Single,64,3.0,26,0.0,1,Personal Auto,Personal L3,Offer4,Call Center,744.924331,Four-Door Car,Medsize,0
2,LZ68649,Washington,14947.9173,Basic,Bachelor,Employed,M,22139,Suburban,Single,100,34.0,31,0.0,2,Personal Auto,Personal L3,Offer3,Call Center,480.0,SUV,Medsize,0
3,XL78013,Oregon,22332.43946,Extended,College,Employed,M,49078,Suburban,Single,97,10.0,3,0.0,2,Corporate Auto,Corporate L3,Offer2,Branch,484.013411,Four-Door Car,Medsize,1
4,QA50777,Oregon,9025.067525,Premium,Bachelor,Medical Leave,F,23675,Suburban,Married,117,15.149070740488469,31,0.384256105867471,7,Personal Auto,Personal L2,Offer1,Branch,707.925645,Four-Door Car,Medsize,0
5,HO81102,California,4745.181764,Basic,High School or Below,Employed,M,50549,Suburban,Divorced,61,2.0,73,0.0,7,Personal Auto,Personal L3,Offer1,Agent,292.8,Four-Door Car,Medsize,1
6,IW72280,California,5035.035257,Basic,Doctor,Employed,F,37405,Urban,Married,63,8.0,99,3.0,4,Corporate Auto,Corporate L2,Offer2,Branch,287.556107,Four-Door Car,Medsize,0
7,IH64929,California,4956.247235,Basic,High School or Below,Employed,M,87197,Urban,Single,63,35.0,45,0.0,3,Personal Auto,Personal L2,Offer2,Branch,247.402353,Two-Door Car,Medsize,0
8,FM55990,California,5989.773931,Premium,College,Employed,M,66839,Suburban,Single,154,33.0,24,0.0,1,Personal Auto,Personal L1,Offer2,Branch,739.2,Sports Car,Medsize,1
9,QX31376,Oregon,17114.32815,Extended,Master,Employed,F,70961,Suburban,Married,85,19.0,8,0.0,2,Corporate Auto,Corporate L3,Offer2,Agent,408.0,Four-Door Car,Small,0
10,HG93801,Arizona,5154.764074,Extended,High School or Below,Employed,M,82730,Urban,Married,127,13.0,31,0.0,1,Corporate Auto,Corporate L3,Offer2,Branch,442.521087,SUV,Large,0
11,GE63585,California,2420.711888,Basic,Bachelor,Employed,M,31710,Urban,Divorced,62,5.0,29,0.0,1,Corporate Auto,Corporate L3,Offer1,Call Center,199.551735,Two-Door Car,Medsize,1
12,EO51920,Oregon,19955.25713,Extended,High School or Below,Employed,F,69096,Rural,Married,99,24.0,32,0.0,2,Corporate Auto,Corporate L3,Offer1,Agent,64.669515,Four-Door Car,Medsize,0
13,KR82385,California,5454.587929,Basic,Master,Employed,M,66334,Suburban,Single,69,25.0,25,0.0,4,Personal Auto,Personal L3,Offer4,Call Center,331.2,Two-Door Car,Medsize,0
14,TL59568,Arizona,12836.00951,Premium,High School or Below,Unemployed,M,0,Suburban,Married,116,6.0,28,0.0,2,Personal Auto,Personal L2,Offer3,Agent,835.2,Two-Door Car,Medsize,0
15,CW49887,California,4626.801093,Basic,Master,Employed,F,79487,Suburban,Divorced,114,20.0,87,0.0,1,Special Auto,Special L1,Offer2,Branch,547.2,SUV,Medsize,1
16,FH51383,California,5326.677654,Basic,High School or Below,Employed,F,76717,Urban,Married,66,26.0,10,0.0,6,Personal Auto,Personal L3,Offer4,Call Center,300.528579,Two-Door Car,Large,0
17,TR26615,Oregon,2497.531509,Basic,High School or Below,Unemployed,M,0,Urban,Married,69,5.0,74,0.0,1,Corporate Auto,Corporate L2,Offer2,Branch,272.381465,Two-Door Car,Medsize,0
18,ZC97968,California,2736.352663,Basic,College,Disabled,M,17533,Suburban,Married,73,10.0,1,0.0,1,Personal Auto,Personal L3,Offer1,Agent,350.4,Two-Door Car,Medsize,0
19,NJ54277,California,3746.751625,Extended,College,Employed,F,41479,Rural,Married,94,14.0,38,1.0,1,Personal Auto,Personal L2,Offer2,Call Center,19.575683,Two-Door Car,Large,1
20,OM80593,California,7247.313475,Basic,Bachelor,Unemployed,F,0,Suburban,Single,104,9.0,58,0.0,7,Personal Auto,Personal L3,Offer1,Call Center,499.2,SUV,Medsize,0
21,RL65736,Oregon,6274.447705,Extended,High School or Below,Medical Leave,F,13662,Suburban,Single,85,29.0,37,0.0,3,Personal Auto,Personal L1,Offer1,Agent,408.0,Four-Door Car,Small,0
22,EQ62488,Oregon,15031.5645,Basic,College,Employed,F,59456,Suburban,Married,189,11.0,7,0.0,8,Personal Auto,Personal L3,Offer2,Call Center,907.2,Luxury Car,Large,0
23,NQ71171,California,5107.071054,Basic,Bachelor,Employed,M,70174,Rural,Married,64,15.149070740488469,80,0.384256105867471,7,Personal Auto,Personal L2,Offer1,Agent,128.90032,Four-Door Car,Medsize,0
24,YK32760,Oregon,2502.209885,Basic,High School or Below,Unemployed,M,0,Suburban,Divorced,74,26.0,95,1.0,1,Corporate Auto,Corporate L1,Offer1,Agent,355.2,Four-Door Car,Medsize,0
25,AY59197,Nevada,9521.222806,Extended,College,Employed,M,27769,Rural,Married,121,24.0,78,0.0,6,Special Auto,Special L3,Offer4,Agent,123.15416,SUV,Small,0
26,XF15789,Arizona,8869.619888,Basic,College,Employed,F,81350,Rural,Married,110,1.0,28,0.0,9,Personal Auto,Personal L3,Offer3,Branch,228.185834,SUV,Large,0
27,MQ68407,Oregon,4376.363592,Premium,Bachelor,Employed,F,63774,Rural,Divorced,111,18.0,63,0.0,1,Personal Auto,Personal L3,Offer2,Agent,60.036683,Four-Door Car,Medsize,1
28,CI99444,Nevada,2926.886293,Basic,College,Employed,F,92381,Urban,Married,72,24.0,27,0.0,1,Special Auto,Special L2,Offer2,Call Center,234.774747,Four-Door Car,Medsize,0
29,BD70337,California,24706.92011,Basic,High School or Below,Medical Leave,M,26307,Urban,Married,73,26.0,1,0.0,2,Personal Auto,Personal L2,Offer4,Call Center,313.192439,Four-Door Car,Medsize,0
30,GX19342,California,8491.465719,Premium,High School or Below,Unemployed,F,0,Suburban,Single,116,3.0,97,0.0,3,Personal Auto,Personal L3,Offer1,Branch,1193.115879,Four-Door Car,Large,0
31,DP19210,California,9191.733549,Basic,Master,Employed,F,23823,Suburban,Married,115,5.0,39,0.0,6,Corporate Auto,Corporate L2,Offer2,Branch,567.48055,Sports Car,Medsize,0
32,OJ63606,Arizona,5776.338737,Premium,High School or Below,Medical Leave,F,27510,Suburban,Married,159,5.0,28,3.0,1,Corporate Auto,Corporate L3,Offer1,Call Center,871.457982,SUV,Small,0
33,OH23893,California,9115.57169,Basic,Bachelor,Employed,F,69588,Rural,Married,114,19.0,45,0.0,6,Personal Auto,Personal L1,Offer1,Branch,173.080024,SUV,Medsize,0
34,RI76930,California,4163.04081,Basic,College,Employed,F,43276,Suburban,Married,104,16.0,11,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,499.2,SUV,Large,0
35,YK26558,California,5264.642009,Basic,College,Unemployed,F,0,Rural,Divorced,72,30.0,26,0.0,8,Special Auto,Special L3,Offer1,Branch,135.888306,Four-Door Car,Medsize,0
36,OE15005,California,3945.241604,Basic,College,Medical Leave,M,28855,Suburban,Married,101,12.0,59,0.0,1,Personal Auto,Personal L2,Offer3,Call Center,647.442031,SUV,Medsize,0
37,RA17555,Oregon,5176.730072,Basic,High School or Below,Employed,M,41533,Urban,Married,65,2.0,46,0.0,9,Corporate Auto,Corporate L2,Offer3,Agent,232.879766,Four-Door Car,Medsize,0
38,ZI34278,Arizona,4492.23348,Basic,Bachelor,Medical Leave,F,21137,Suburban,Single,61,29.0,62,1.0,6,Personal Auto,Personal L1,Offer2,Web,292.8,Four-Door Car,Medsize,0
39,XD72019,Oregon,8470.043225,Extended,Bachelor,Unemployed,F,0,Suburban,Single,82,1.0,13,0.0,2,Personal Auto,Personal L2,Offer2,Web,479.312226,Four-Door Car,Large,0
40,RR93140,California,2880.348532,Basic,College,Employed,F,81565,Urban,Married,71,19.0,54,0.0,1,Personal Auto,Personal L2,Offer2,Branch,190.642833,Four-Door Car,Medsize,0
41,BE25221,Arizona,6182.618843,Extended,High School or Below,Medical Leave,M,20072,Suburban,Married,82,35.0,51,0.0,9,Corporate Auto,Corporate L3,Offer1,Agent,473.266879,Four-Door Car,Medsize,0
42,PV62583,Nevada,9799.175061,Extended,College,Medical Leave,M,22166,Suburban,Married,126,10.0,22,0.0,6,Personal Auto,Personal L3,Offer1,Web,604.8,SUV,Medsize,0
43,BL12371,Arizona,5790.565333,Basic,Master,Employed,M,84551,Rural,Divorced,72,10.0,82,0.0,5,Personal Auto,Personal L3,Offer2,Agent,28.92584,Four-Door Car,Large,0
44,ER49844,Arizona,5041.447024,Basic,College,Employed,M,61972,Rural,Married,64,2.0,52,2.0,5,Personal Auto,Personal L1,Offer4,Call Center,138.961963,Four-Door Car,Medsize,0
45,RI22468,Arizona,5745.94334,Basic,Bachelor,Employed,F,57740,Urban,Married,74,30.0,87,3.0,9,Personal Auto,Personal L1,Offer3,Web,269.905129,Four-Door Car,Medsize,0
46,SY48591,Arizona,4827.77681,Basic,College,Unemployed,F,0,Suburban,Single,68,29.0,91,0.0,6,Personal Auto,Personal L3,Offer1,Branch,326.4,Four-Door Car,Medsize,0
